ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0060562,epithelial tube morphogenesis,61/1145,396/18112,8.190910500779809e-11,4.755642636752757e-7,3.628142251292783e-7,499497/286994/24413/25154/304947/312781/311331/298894/64566/301346/60445/84584/310552/59112/362736/25273/500308/24881/24323/290905/58834/686412/679693/79558/363126/316539/304495/311332/500863/294809/304883/312652/498819/85489/306141/114523/29577/84010/117273/361400/499745/171287/298555/29431/140586/24525/85471/679028/79428/171116/362051/365468/25537/78963/297480/50554/311622/114502/25406/84353/313757,61
GO:0045165,cell fate commitment,48/1145,280/18112,2.23893105479171e-10,6.499616852060334e-7,4.958643093980799e-7,499497/307376/287287/113984/295475/64566/25697/287357/25172/25094/29146/310552/25273/24498/24881/24323/79558/311332/29147/289026/306141/314423/29577/84010/117273/114125/309095/56718/304063/140586/680427/317268/24205/85471/679028/362051/116668/312478/307579/683470/304514/266813/50554/25125/291100/114502/81507/84353,48
GO:0048736,appendage development,37/1145,206/18112,7.143339311549453e-9,1.036855701071403e-5,7.91030837447371e-6,304947/113984/307251/312781/298894/64566/287357/289486/310552/353227/686412/246284/29147/500863/116499/297099/85489/364910/307724/680712/314280/140586/116548/299499/114107/282635/310418/683470/363286/304514/266813/301285/311349/50554/81507/84353/313757,37
GO:0060173,limb development,37/1145,206/18112,7.143339311549453e-9,1.036855701071403e-5,7.91030837447371e-6,304947/113984/307251/312781/298894/64566/287357/289486/310552/353227/686412/246284/29147/500863/116499/297099/85489/364910/307724/680712/314280/140586/116548/299499/114107/282635/310418/683470/363286/304514/266813/301285/311349/50554/81507/84353/313757,37
GO:0021537,telencephalon development,51/1145,342/18112,9.005608485141455e-9,1.0457312572946257e-5,7.97802115904742e-6,303477/499497/312299/83572/312213/312781/29386/311462/245921/64566/24654/24954/60445/300948/287659/288042/25273/307302/25696/170845/24410/304495/64619/292732/266729/24604/84394/314423/29577/364910/117273/78974/29619/307724/289201/680427/317268/140447/24888/361103/360459/25665/116549/54278/297480/310698/29642/313929/24592/84353/313757,51
GO:0030902,hindbrain development,38/1145,221/18112,1.5462052312291975e-8,1.1259581273611728e-5,8.590082491679778e-6,312299/312781/79256/29386/245921/311166/301346/24954/300948/287659/117258/300807/25273/24881/58834/304495/64619/25327/60391/304883/303491/266729/81647/29577/84010/307724/25149/289201/304554/29431/680427/25665/683470/83516/83526/313929/311349/84353,38
GO:0035107,appendage morphogenesis,33/1145,176/18112,1.5514407542007204e-8,1.1259581273611728e-5,8.590082491679778e-6,304947/307251/312781/298894/64566/287357/289486/310552/353227/686412/246284/29147/500863/116499/297099/85489/364910/307724/140586/116548/299499/282635/310418/683470/363286/304514/266813/301285/311349/50554/81507/84353/313757,33
GO:0035108,limb morphogenesis,33/1145,176/18112,1.5514407542007204e-8,1.1259581273611728e-5,8.590082491679778e-6,304947/307251/312781/298894/64566/287357/289486/310552/353227/686412/246284/29147/500863/116499/297099/85489/364910/307724/140586/116548/299499/282635/310418/683470/363286/304514/266813/301285/311349/50554/81507/84353/313757,33
GO:0021987,cerebral cortex development,30/1145,152/18112,2.0594327537692942e-8,1.3285629520427246e-5,1.0135781319135896e-5,83572/312781/29386/311462/24654/60445/300948/287659/288042/25273/307302/25696/170845/24410/64619/266729/24604/84394/117273/680427/317268/24888/361103/360459/116549/54278/29642/313929/24592/84353,30
GO:0050890,cognition,54/1145,385/18112,2.8539369773556297e-8,1.6569958090526786e-5,1.2641438737592096e-5,499497/83572/81660/24176/29386/64865/360606/310738/25675/64033/24654/25446/58814/60445/24225/54234/300772/24410/679906/294318/60568/60391/361585/304883/25049/315606/24418/56718/29619/89828/79212/25149/29716/289201/29431/297514/680427/140447/24525/25324/24925/25248/365963/54278/64030/192256/24483/54226/29707/308666/287478/307916/24592/29335,54
