ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
rno05200,Pathways in cancer,64/506,538/9007,5.3067516159694854e-9,1.629172746102632e-6,1.1507271925154884e-6,116553/287287/24242/24244/50663/361696/298210/312781/25385/29434/360606/64033/498709/64566/24654/287357/84584/25094/362489/29146/79218/25273/353227/24498/24881/24323/290905/25493/116554/311332/29147/116499/25031/29577/300339/29622/84010/117273/85384/114125/56718/25149/312451/24525/24888/24205/362485/290537/116546/116590/24628/306628/25537/64030/78963/24483/24790/24514/24708/313929/50554/25125/311622/84353,64
rno05224,Breast cancer,26/506,148/9007,1.680391360286318e-7,2.579400738039498e-5,1.821898001152534e-5,25154/361696/312781/64566/287357/84584/29146/24881/311332/29147/116499/29577/84010/85384/114125/56718/25149/312451/24525/24205/116590/64030/24790/24708/313929/84353,26
rno04014,Ras signaling pathway,32/506,234/9007,2.3559931252388293e-6,2.2430198199217713e-4,1.5843033872925934e-4,24242/24244/50663/25385/29434/310738/24954/24225/84477/79218/289733/24410/116554/116499/304883/29622/117273/85384/304063/29431/24525/24888/116546/171337/116590/24628/64030/79121/24483/365355/311622/24592,32
rno04010,MAPK signaling pathway,37/506,294/9007,2.922501394034881e-6,2.2430198199217713e-4,1.5843033872925934e-4,499497/286993/24493/25385/29434/310738/116667/24954/497961/24225/54234/300980/116554/116499/81647/303200/361400/85384/29716/297682/171492/29431/58942/24525/25399/308267/171337/116590/24628/64030/24483/60587/303604/293847/365355/311622/24592,37
rno04550,Signaling pathways regulating pluripotency of stem cells,22/506,142/9007,1.262681597213793e-5,7.673606462161785e-4,5.420068339466235e-4,29263/114208/312398/245921/64566/25261/287357/59112/24881/79558/303491/24525/24205/116590/288151/24514/293847/307829/50554/25125/81507/84353,22
rno05417,Lipid and atherosclerosis,28/506,209/9007,1.4997276473280361e-5,7.673606462161785e-4,5.420068339466235e-4,24242/24244/50663/298210/25385/24654/25696/24498/363984/25493/116554/25031/300339/117273/303200/361400/313210/140914/24525/24888/308267/171337/116590/25537/78963/295378/24514/25125,28
rno04310,Wnt signaling pathway,24/506,168/9007,2.0940787467986194e-5,9.184031075245373e-4,6.486920629180684e-4,286994/312781/364952/64033/64566/24654/287357/497961/310552/24881/500485/116554/500863/25565/25031/117273/361400/312451/24205/116549/25537/78973/50554/84353,24
rno05205,Proteoglycans in cancer,26/506,207/9007,9.153135865765143e-5,0.0031364969363986616,0.0022153895727691554,314850/361696/25385/84352/64566/25697/287357/25273/24881/85489/445442/315655/117273/85384/161476/56718/29431/24525/116590/25537/24483/295378/365355/25125/25406/84353,26
rno04072,Phospholipase D signaling pathway,21/506,150/9007,9.194942158823437e-5,0.0031364969363986616,0.0022153895727691554,24654/24954/60445/84477/24416/25031/192270/29622/24418/117273/85384/56718/24525/116546/60590/116590/24628/64030/79121/24414/365355,21
rno04658,Th1 and Th2 cell differentiation,15/506,89/9007,1.1469286958025602e-4,0.0035210710961138597,0.0024870243298455515,116553/100361294/287287/29146/25493/116554/311332/29147/84010/361400/114125/85471/679028/116590/24514,15
rno04330,Notch signaling pathway,12/506,62/9007,1.4221921365059287e-4,0.0037634545162138835,0.0026582260597979085,29146/304591/311332/29147/25565/292732/25049/29577/84010/114125/293774/679028,12
rno04015,Rap1 signaling pathway,26/506,213/9007,1.471057139888163e-4,0.0037634545162138835,0.0026582260597979085,24242/24244/50663/84006/310738/25261/24654/24954/362279/24410/116499/445442/25031/29622/117273/303200/500261/24525/25248/116546/171337/116590/24628/64030/295378/84353,26
rno05017,Spinocerebellar ataxia,20/506,145/9007,1.6539097657761181e-4,0.0038967475638894467,0.00275237441509078,298874/362609/24654/300807/25696/24410/303206/116554/266729/25031/25049/56718/29693/679028/171116/29628/24790/117101/24414/312927,20
rno05161,Hepatitis B,21/506,157/9007,1.7770184330440474e-4,0.0038967475638894467,0.00275237441509078,100361294/298210/25385/116667/24498/363984/25493/116554/81647/303200/361400/85384/24525/362485/308267/116590/78963/24514/24708/50554/25125,21
rno01522,Endocrine resistance,15/506,94/9007,2.1552917720379054e-4,0.004411163826770913,0.003115720035367077,361696/84584/29146/116554/311332/29147/84010/85384/114125/56718/25149/24525/116590/24790/24708,15
rno04350,TGF-beta signaling pathway,15/506,96/9007,2.7347362941133993e-4,0.005247275264330085,0.003706287345969475,29263/361696/302822/116651/245921/25261/79558/499508/445442/117273/116590/24790/81735/50554/81507,15
rno04916,Melanogenesis,15/506,99/9007,3.853945583922109e-4,0.006533034344042636,0.004614452511135892,24242/24244/50663/64566/24654/287357/25094/24881/24323/25031/312451/24525/116590/64030/84353,15
rno04728,Dopaminergic synapse,18/506,132/9007,3.998260129761603e-4,0.006533034344042636,0.004614452511135892,24242/24244/50663/24654/79218/24410/116554/311024/25031/81647/60447/25549/29716/29657/117104/24611/29628/299147,18
rno05210,Colorectal cancer,14/506,89/9007,4.043246010971012e-4,0.006533034344042636,0.004614452511135892,361696/116554/29622/117273/85384/56718/312451/24525/24205/290537/116546/116590/50554/84353,14
rno04912,GnRH signaling pathway,14/506,90/9007,4.5473435425253544e-4,0.006699990430575755,0.004732377948563708,24242/24244/50663/116667/24654/116554/25031/303200/85384/29716/171492/24525/116590/303604,14
rno04151,PI3K-Akt signaling pathway,35/506,345/9007,4.664878279307201e-4,0.006699990430575755,0.004732377948563708,24684/287287/361696/298210/25385/360606/310738/84352/64033/24954/60445/24225/79218/24498/290905/116499/445442/81647/85384/500261/56718/25235/24525/24888/362485/117104/207122/116590/24628/306628/64030/24483/24514/299147/60430,35
rno04933,AGE-RAGE signaling pathway in diabetic complications,15/506,101/9007,4.8012960740282285e-4,0.006699990430575755,0.004732377948563708,25584/24493/84352/24654/24498/24323/290905/116554/25031/24525/116590/306628/24514/50554/25125,15
