ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0060537,muscle tissue development,178/5224,405/18800,1.483165736784372e-12,9.41068659989684e-9,7.493890038489459e-9,1281/2006/1301/858/7422/56999/8531/70/3479/4015/5728/7168/905/2022/1310/3670/10038/7832/8320/4089/9328/5915/2353/3688/2047/3720/23462/998/4637/23363/11214/25976/2033/6443/65009/1525/7042/23135/56261/6840/57493/1073/1909/5159/6198/4853/10891/9750/2475/10529/6262/23493/55553/9975/7504/2660/7026/5530/4209/9794/196528/9474/4654/90/7763/54567/6662/6258/93185/861/3142/221662/5339/140628/183/131377/84525/409/10472/8819/51778/1829/55636/1756/2697/8516/5292/4763/9734/4851/3344/7135/4629/5999/607/57158/51804/9868/2066/79647/6722/57462/80206/3131/2065/51676/205428/7273/2627/4878/387/6901/129446/857/3084/2263/6664/2296/57538/7161/64855/1432/8929/10052/6331/57190/5727/56983/22933/10021/3235/1385/3481/3488/57496/2254/10370/11023/137868/6497/10611/23414/54715/10818/983/9148/5156/10211/4633/136319/5925/3776/4088/2317/688/4090/57486/8324/3516/245806/7048/58/9241/1901/27302/1466/5629/1827/26263/4205/10804/406/4208/130497/5350/4868/467/5573,178
BP,GO:0007265,Ras protein signal transduction,150/5224,347/18800,3.619026038055715e-10,1.1481360105731756e-6,9.142802622456543e-7,1281/6091/1278/27314/3479/8859/57646/286205/4893/9869/6016/9448/9710/10276/890/51195/9649/9754/376267/10982/3688/998/23636/11214/440107/10630/10564/2885/50848/2782/64787/7042/28511/5908/57343/5906/10252/22800/57493/7074/9402/5898/8936/5291/5159/56882/4853/55379/9750/7126/81848/57679/201475/1017/2664/345/5899/5921/388/79567/53916/440073/9693/65078/5922/11069/9423/11135/8036/25/2151/5923/57381/150/8315/3845/117178/23263/57826/4763/57221/4851/65979/23365/57531/1026/8831/11021/27334/23362/392/10617/55333/221002/5900/115727/128239/5962/84249/90627/8625/387/9771/3084/2056/9267/5924/6239/1796/1029/27/28512/5894/57698/408/2846/9181/3925/51735/10928/3707/5516/3984/10211/22808/5925/6242/11315/51196/395/382/1399/23179/171177/613/83478/8473/9909/23616/10161/6386/6654/9908/5879/23580/84636/55914/347273/2059/5587,150
BP,GO:0030198,extracellular matrix organization,134/5224,307/18800,1.4621954127140733e-9,2.1416647470966713e-6,1.7054441186286795e-6,1281/1277/2006/7837/1280/1282/50509/1301/1306/9509/1290/858/83872/56999/1289/1287/7092/1278/1295/7132/3038/1286/4325/170691/81794/4015/1297/57589/84627/3915/170692/11173/1284/11174/169044/1285/2022/1310/1307/1288/256764/4811/64116/5806/3688/4017/871/84171/10630/55512/7042/85301/90102/171019/22795/538/4317/80070/1515/1605/10893/6692/63894/196264/1803/59277/649/3913/1305/2191/1471/1302/2264/5045/5033/342371/6662/25/861/1299/118856/183/84695/26254/2670/8516/25890/602/4763/4851/4629/2620/9508/28984/5650/60681/10516/11107/4320/857/169611/81577/91522/2296/4016/60495/140766/25818/64094/4324/7133/255631/255743/1361/10609/29113/1490/5156/11095/10211/60626/5925/6624/4088/149371/4982/83716/3491/5212/10218/9313/2824/133584/4868,134
BP,GO:0030323,respiratory tube development,89/5224,183/18800,1.4990073719278772e-9,2.1416647470966713e-6,1.7054441186286795e-6,1281/9509/7965/7422/9618/4015/8817/55294/3976/998/100/3158/2033/10630/4781/55512/28511/7067/10252/57493/538/6720/5159/10551/1605/1181/5251/51696/5154/2002/342371/6662/7534/84525/10905/3845/84695/10365/1544/26154/1116/4851/23657/5754/2736/6722/10454/157506/54206/2627/51501/4087/2263/2246/3988/6664/5499/57333/28512/3596/1385/3488/2254/7068/2737/3202/79977/23414/1490/5156/8022/339829/3516/10247/7048/5125/9394/83716/7547/9241/54542/2252/5629/6670/340419/6431/3694/6493/2034,89
BP,GO:0043062,extracellular structure organization,134/5224,308/18800,1.8859165729071865e-9,2.1416647470966713e-6,1.7054441186286795e-6,1281/1277/2006/7837/1280/1282/50509/1301/1306/9509/1290/858/83872/56999/1289/1287/7092/1278/1295/7132/3038/1286/4325/170691/81794/4015/1297/57589/84627/3915/170692/11173/1284/11174/169044/1285/2022/1310/1307/1288/256764/4811/64116/5806/3688/4017/871/84171/10630/55512/7042/85301/90102/171019/22795/538/4317/80070/1515/1605/10893/6692/63894/196264/1803/59277/649/3913/1305/2191/1471/1302/2264/5045/5033/342371/6662/25/861/1299/118856/183/84695/26254/2670/8516/25890/602/4763/4851/4629/2620/9508/28984/5650/60681/10516/11107/4320/857/169611/81577/91522/2296/4016/60495/140766/25818/64094/4324/7133/255631/255743/1361/10609/29113/1490/5156/11095/10211/60626/5925/6624/4088/149371/4982/83716/3491/5212/10218/9313/2824/133584/4868,134
BP,GO:0007517,muscle organ development,143/5224,334/18800,2.0252148908715567e-9,2.1416647470966713e-6,1.7054441186286795e-6,1281/2006/1301/858/8531/70/3479/1293/3908/1839/4015/7168/905/2022/1310/23411/3670/463/3976/7832/8320/4089/9328/56704/2353/2047/51111/4637/2033/6443/7042/56261/6840/57493/1073/1909/6198/1605/9750/6262/23493/55553/9975/7504/3399/2660/7026/22801/5530/4209/23060/78994/4654/90/9215/54567/9099/6258/5077/93185/84159/3142/221662/5339/131377/8763/10472/8819/51778/55636/1756/2697/4763/9734/4851/3344/7135/607/8087/57158/94104/51804/79647/57462/3131/2065/51676/7273/4762/387/6901/129446/857/3084/2263/6664/6300/10290/2296/64855/2121/1432/8929/575/57190/22933/3235/1385/3481/57496/10370/11023/6497/23414/54715/9148/10211/4633/136319/5925/4088/2317/688/7402/57486/3516/245806/283078/58/9241/1901/27302/5629/1827/26263/4205/6938/406/4208/2273/347273/4868/467,143
BP,GO:0045229,external encapsulating structure organization,134/5224,310/18800,3.1140986277431466e-9,2.8227079704328952e-6,2.2477704380702415e-6,1281/1277/2006/7837/1280/1282/50509/1301/1306/9509/1290/858/83872/56999/1289/1287/7092/1278/1295/7132/3038/1286/4325/170691/81794/4015/1297/57589/84627/3915/170692/11173/1284/11174/169044/1285/2022/1310/1307/1288/256764/4811/64116/5806/3688/4017/871/84171/10630/55512/7042/85301/90102/171019/22795/538/4317/80070/1515/1605/10893/6692/63894/196264/1803/59277/649/3913/1305/2191/1471/1302/2264/5045/5033/342371/6662/25/861/1299/118856/183/84695/26254/2670/8516/25890/602/4763/4851/4629/2620/9508/28984/5650/60681/10516/11107/4320/857/169611/81577/91522/2296/4016/60495/140766/25818/64094/4324/7133/255631/255743/1361/10609/29113/1490/5156/11095/10211/60626/5925/6624/4088/149371/4982/83716/3491/5212/10218/9313/2824/133584/4868,134
BP,GO:0016570,histone modification,196/5224,494/18800,4.936323872782303e-9,3.680344962918757e-6,2.930721383934309e-6,80312/6018/200424/84444/54790/64324/7422/54556/84787/1789/8467/83852/54799/9643/10336/9759/9869/6877/23411/3670/5978/51105/2332/10933/890/10038/23522/8202/3976/4089/8505/54107/3720/51111/90665/2033/5927/8085/10765/6421/79829/10626/4837/91748/23135/55209/57343/80314/4591/56341/7994/6720/23186/8520/1812/1911/10498/51322/10891/57223/8726/8284/387893/5187/23030/80335/78990/8242/1017/6688/5926/9474/817/4654/80854/54880/147746/55818/58508/122953/84333/5599/1107/23338/9767/1643/51742/84332/84525/120892/6015/93624/390245/26122/5253/7786/84193/55170/8864/4297/5563/51043/9734/322/9647/9958/94104/3662/9112/9025/8464/11176/3054/4221/4842/4801/4674/5578/648/6874/10902/23410/4802/9320/11107/6839/6883/25855/64769/8314/84108/165918/79918/140690/27154/672/2122/54620/50943/51547/5579/7862/22933/408/10322/23476/3481/7324/7468/22992/54904/6885/6497/138474/22823/56979/23741/983/2140/6944/4300/55870/84678/25865/56943/51780/8648/54934/9646/546/2005/60/11315/9913/80218/51230/6418/8932/8473/55683/9960/2672/10943/79960/80853/79577/6879/55183/284058/56254/27097/57708/4602/26036/23512/5587,196
BP,GO:0018209,peptidyl-serine modification,143/5224,338/18800,5.2203474651329886e-9,3.680344962918757e-6,2.930721383934309e-6,64324/375449/7422/79070/1455/6446/5728/204851/2932/10000/9874/4139/10038/65125/8658/3976/578/3458/127933/493/6199/799/208/5155/1456/4140/11009/1389/23139/2590/6198/1812/23049/2475/4515/57731/23012/8317/5979/624/8693/1017/5601/5217/53944/27347/96459/84630/817/147746/85440/2589/1452/5599/9125/51763/2591/5144/54541/28996/5058/10178/4916/23031/120892/409/5584/57600/7786/8440/11235/1756/6196/9175/5563/50859/5593/6789/9647/3452/114805/5566/10114/4842/4915/26524/23678/5578/1147/1634/51701/4294/857/2056/6197/6300/1457/6195/2011/1432/9530/25989/8536/5579/3059/5894/56983/5598/2872/284/5743/3444/5290/3449/253260/57118/9451/5613/5581/9149/1859/983/11200/152559/25865/10142/23228/11315/7048/7037/84930/5586/51719/83942/627/9706/23515/219736/23171/133584/10783/8444/5587,143
BP,GO:0030324,lung development,86/5224,179/18800,5.906802657507302e-9,3.747866286188383e-6,2.9844897637931636e-6,1281/9509/7965/7422/4015/8817/55294/3976/998/100/3158/2033/10630/4781/55512/28511/7067/10252/57493/538/6720/5159/10551/1605/1181/5251/5154/2002/342371/6662/7534/84525/10905/3845/84695/10365/1544/26154/1116/4851/23657/5754/2736/6722/10454/157506/54206/2627/51501/4087/2263/2246/3988/6664/5499/57333/28512/3596/1385/3488/2254/7068/2737/3202/79977/23414/1490/5156/8022/339829/3516/10247/7048/9394/83716/7547/9241/54542/2252/5629/6670/340419/6431/3694/6493/2034,86
